dummy,first,second,Grid,Lat,Long
,255340,772785,NN5534072785,56.823973,-4.371959
,164170,688680,NR6417088680,56.032775,-5.7869845
,222860,831415,NH2286031415,57.338727,-4.9448739
,225895,861615,NH2589561615,57.61082,-4.9160425
,218350,783900,NN1835083900,56.91071,-4.9851674
,257505,906940,NC5750506940,58.028668,-4.4145599
,265640,787175,NN6564087175,56.95624,-4.2109546
,258577,747751,NN5857747751,56.600256,-4.3051764
,233200,720700,NN3320020700,56.349161,-4.7007402
,212176,775418,NN1217675418,56.832162,-5.0801414
,217196,788748,NN1719688748,56.953747,-5.0075928
,268858,739100,NN6885839100,56.52558,-4.1334734
,266469,748148,NN6646948148,56.606135,-4.1769408
,282340,772772,NN8234072772,56.831477,-3.9298593
,190263,871166,NG9026371166,57.681297,-5.5196097
,204700,849300,NH0470049300,57.491706,-5.2603163
,173510,746790,NM7351046790,56.558288,-5.6873115
,266500,748500,NN6650048500,56.609304,-4.176618
,225150,934050,NC2515034050,58.260269,-4.9819427
,259900,866800,NH5990066800,57.669199,-4.3504448
,299500,741500,NN9950041500,56.554686,-3.6365457
,232100,718600,NN3210018600,56.329927,-4.717177
,222875,800386,NH2287500386,57.060367,-4.9225322
,169268,854081,NG6926854081,57.517911,-5.854628
,179040,870370,NG7904070370,57.668793,-5.7066865
,179040,871370,NG7904071370,57.677756,-5.7076025
,246250,725250,NN4625025250,56.39442,-4.4924672
,196459,867347,NG9645967347,57.6499,-5.4126762
,218915,901914,NC1891501914,57.96953,-5.0631929
,243130,780340,NN4313080340,56.887815,-4.5764662
,220471,776708,NN2047176708,56.847013,-4.9453003
,228641,768161,NN2864168161,56.77341,-4.8057857
,230807,769237,NN3080769237,56.783856,-4.7711
,226820,802600,NH2682002600,57.081731,-4.8590982
,210472,791397,NN1047291397,56.974803,-5.1199645
,196657,706909,NM9665706909,56.211179,-5.2804572
,277190,748690,NN7719048690,56.613934,-4.0026704
,594200,223400,TL9420023400,51.875347,0.81977175
,555800,180700,TQ5580080700,51.503763,0.24339999
,534100,214800,TL3410014800,51.815749,-0.055978733
,580000,269300,TL8000069300,52.292341,0.63793595
,614800,316100,TG1480016100,52.69994,1.1776048
,555200,180700,TQ5520080700,51.503928,0.23476218
,504800,246100,TL0480046100,52.103316,-0.47131807
,556200,202300,TL5620002300,51.697715,0.25876951
,503800,228300,TL0380028300,51.943527,-0.49130515
,555100,180700,TQ5510080700,51.503956,0.23332253
,497000,240200,SP9700040200,52.051709,-0.58683571
,497000,240600,SP9700040600,52.055304,-0.58672228
,560900,183200,TQ6090083200,51.524796,0.31795817
,521000,269300,TL2100069300,52.308491,-0.22662795
,552400,179100,TQ5240079100,51.490314,0.19376082
,529700,210000,TL2970010000,51.773653,-0.12156636
,611100,250100,TM1110050100,52.108919,1.081339
,560500,182000,TQ6050082000,51.514129,0.3116512
,501500,243300,TL0150043300,52.078766,-0.52031362
,520500,301900,TF2050001900,52.601535,-0.22219842
,623900,244000,TM2390044000,52.049137,1.2639419
,453725,280820,SP5372580820,52.422738,-1.2113931
,465900,277000,SP6590077000,52.387072,-1.0331341
,446200,367200,SK4620067200,53.199878,-1.3098562
,490500,324300,SK9050024300,52.808666,-0.65885111
,451300,308600,SK5130008600,52.672687,-1.2427653
,458500,350000,SK5850050000,53.044077,-1.1288799
,435200,292800,SP3520092800,52.531936,-1.4825293
,453700,300300,SK5370000300,52.597847,-1.2086225
,456800,269500,SP5680069500,52.320671,-1.1680934
,484900,231900,SP8490031900,51.979087,-0.76530091
,469400,222900,SP6940022900,51.900332,-0.99274571
,492300,288500,SP9230088500,52.486621,-0.64215784
,453600,300200,SK5360000200,52.596958,-1.2101149
,436100,271400,SP3610071400,52.339499,-1.4715676
,446200,366800,SK4620066800,53.196282,-1.3099139
,435300,292800,SP3530092800,52.531929,-1.4810552
,329200,341600,SJ2920041600,52.967066,-3.0556093
,330000,345000,SJ3000045000,52.99773,-3.044437
,371800,357500,SJ7180057500,53.11393,-2.4227552
,344600,371500,SJ4460071500,53.237625,-2.8315124
,357300,386300,SJ5730086300,53.371825,-2.6432412
,349000,402000,SD4900002000,53.512194,-2.7705279
,357300,386300,SJ5730086300,53.371825,-2.6432412
,334900,384800,SJ3490084800,53.356055,-2.9795572
,328600,390900,SJ2860090900,53.410061,-3.0755752
